iso,Bloc,Eastern,Western,Neutral,Trade,Output,Welfare
MRT,Neutral,-25.3045706769733,1.801691197149566,0.7121331090417868,-3.622953672304476,-0.7438280986699652,-1.339758398447671
MWI,Western,-44.424448916614615,3.365287966554547,4.734273242732883,-3.304966360572408,-0.40555909368146104,-0.7314798097398381
MYS,Neutral,-25.39948350338102,4.649807411365529,4.643132115861519,-3.8903295935563165,-2.486483990450921,-4.446935573113535
NAM,Neutral,-26.726808004302626,2.3983696780841512,1.721520195124313,-0.547511546436354,-0.17641948548492792,-0.3184906651407289
NER,Neutral,-25.98435130404539,5.041223382101961,3.0669417163076247,-5.115045930626991,-0.3223033161625466,-0.5815125308700999
NGA,Neutral,-26.064928205777107,1.5264480321871332,0.0934653153263838,-2.9724883564551448,-0.1786783034339834,-0.32256557519264106
NIC,Eastern,10.605893413922445,-55.75575734420322,-23.543711448368967,-45.19391932340399,-10.38284191154942,-17.966655207171343
NLD,Western,-42.88093367629188,2.8224030896074055,5.013714689437421,-2.441890860814624,-1.5247114994481876,-2.737572101295001
NOR,Western,-45.93159753048073,2.2016463892676796,1.770284859608438,-1.8986557064428524,-0.30573843360753017,-0.55166242179736
NPL,Neutral,-20.91936550428518,5.74491571358422,4.778954895403899,0.5332455848772923,-0.11437816303148907,-0.20653897746323935
NZL,Western,-60.61723085529333,0.48749811438938195,1.3406136322723512,-16.343772874921612,-1.1088293787668562,-1.9942342432793794
OMN,Neutral,-23.470256848540316,2.5525057897301906,1.3811212767712533,-6.5530610775220595,-1.2230069974142737,-2.1985642279478697
PAK,Neutral,-25.123379614403092,2.3525499109437504,5.347232741217965,-2.42955404478613,-0.18677979373713072,-0.33718006081930696
PAN,Western,-40.05823356420708,1.71142237292149,1.385533207866132,-2.3972503614862717,-0.17318718597830696,-0.31265946393314437
PER,Western,-68.15845644711985,2.407759023374851,1.0926563905578774,-19.536199200263454,-1.413175608252601,-2.538463462818484
PHL,Western,-50.26170341410255,3.9590806089344,3.33990618532097,-13.437121304280538,-1.38883095919104,-2.494980368618485
PLW,Western,-13.871763992701801,2.00272855688074,4.939351499004417,-0.23794382056226482,-0.14444907846463195,-0.2608080402301596
PNG,Western,-31.7899100849707,2.492326056158973,-0.9447374445958872,-6.480496189891028,-0.8021514761347106,-1.4444673190756987
POL,Western,-44.280482276567746,2.6412299241464723,2.8173298012171273,-2.28073635346162,-0.7001217824202115,-1.2612591912331936
PRT,Western,-49.89765444905435,1.6908020044949978,1.183609281679196,-1.3182283299403252,-0.28235689316420576,-0.5095218076614572
PRY,Western,-41.76437975257679,2.3411254066005824,5.536137870878818,-8.949227301723283,-0.944944524418986,-1.7006164581102325
QAT,Neutral,-26.150730374911234,-0.7796767710761401,3.921453001286622,-2.77702263373952,-0.4260168728672937,-0.7683146045667968
ROU,Western,-49.942309850136986,2.2398743377743244,2.1005021738510834,-2.341640599978575,-0.48752391431126796,-0.8790229641706304
RUS,Eastern,4.5187260538719585,-51.3791133794555,-21.95550132683819,-33.184152606563515,-2.3411199737582535,-4.189447564769324
RWA,Neutral,-22.970488362484147,5.983219692660285,3.861766363131494,-0.5392073112155202,-0.18542065402954222,-0.3347283407184989
SAU,Neutral,-27.24505536140761,0.8018854657491801,3.1649576990184585,-4.750029248291483,-0.5086150620856955,-0.9169728462083953
SDN,Neutral,3.9763515212378877,1.4670901980602196,1.364119615665075,1.6627681690305138,0.03964920172849418,0.07164125473700267
SEN,Neutral,-24.83045151556611,1.187479723623909,1.7648040466002186,-4.299495356158701,-0.4644731180841717,-0.8375396123711027
SGP,Neutral,-24.27978372498073,2.4795342715266173,3.32115400487983,-3.5239788244346784,-1.5588497956387783,-2.798477846385012
SLB,Neutral,-23.557700856729426,3.460866122243658,1.6045061725873637,-9.846052877467372,-1.4126826035664664,-2.5375829704471897
SLE,Western,-45.468933312879656,1.9430325122699799,1.1286368564526867,-10.496426206380036,-0.9129053208789912,-1.6431688693550655
SLV,Neutral,-23.123680383101828,3.5965720059857915,4.1865320426705495,-0.37222411892511786,-0.2832496741531685,-0.5111310156384263
SVK,Western,-54.88481901788768,3.17895034120356,3.5287804679365706,-1.8118447037339394,-1.4434854797365944,-2.5925892114854463
SVN,Western,-45.118217171616884,2.311967988736342,2.1717451117452526,-0.7318043779423391,-0.6757682536842111,-1.2175066767642306
SWE,Western,-47.28197864450871,1.9441981482380157,1.5974749215445172,-2.186866061538808,-0.38251926071049525,-0.6899886484971489
TCD,Western,-44.64393133810414,1.4940753932365851,3.2680417544000733,-13.217348706226915,-0.5207103859519862,-0.9387333675457796
